Constants
|  Constant Index  |   Prime   |   Hexadecimal |   Binary              |
|  --------------  |   -----   |   ----------- |   -----------------   |
|  0              |   2      |   428a2f98          |    1000010100010100010111110011000                |
|  1              |   3      |   71374491          |    1110001001101110100010010010001                |
|  2              |   5      |   b5c0fbcf          |   10110101110000001111101111001111                |
|  3              |   7      |   e9b5dba5          |   11101001101101011101101110100101                |
|  4              |   11      |   3956c25b          |     111001010101101100001001011011                |
|  5              |   13      |   59f111f1          |    1011001111100010001000111110001                |
|  6              |   17      |   923f82a4          |   10010010001111111000001010100100                |
|  7              |   19      |   ab1c5ed5          |   10101011000111000101111011010101                |
|  8              |   23      |   d807aa98          |   11011000000001111010101010011000                |
|  9              |   29      |   12835b01          |      10010100000110101101100000001                |
|  10              |   31      |   243185be          |     100100001100011000010110111110                |
|  11              |   37      |   550c7dc3          |    1010101000011000111110111000011                |
|  12              |   41      |   72be5d74          |    1110010101111100101110101110100                |
|  13              |   43      |   80deb1fe          |   10000000110111101011000111111110                |
|  14              |   47      |   9bdc06a7          |   10011011110111000000011010100111                |
|  15              |   53      |   c19bf174          |   11000001100110111111000101110100                |
|  16              |   59      |   e49b69c1          |   11100100100110110110100111000001                |
|  17              |   61      |   efbe4786          |   11101111101111100100011110000110                |
|  18              |   67      |   fc19dc6          |       1111110000011001110111000110                |
|  19              |   71      |   240ca1cc          |     100100000011001010000111001100                |
|  20              |   73      |   2de92c6f          |     101101111010010010110001101111                |
|  21              |   79      |   4a7484aa          |    1001010011101001000010010101010                |
|  22              |   83      |   5cb0a9dc          |    1011100101100001010100111011100                |
|  23              |   89      |   76f988da          |    1110110111110011000100011011010                |
|  24              |   97      |   983e5152          |   10011000001111100101000101010010                |
|  25              |   101      |   a831c66d          |   10101000001100011100011001101101                |
|  26              |   103      |   b00327c8          |   10110000000000110010011111001000                |
|  27              |   107      |   bf597fc7          |   10111111010110010111111111000111                |
|  28              |   109      |   c6e00bf3          |   11000110111000000000101111110011                |
|  29              |   113      |   d5a79147          |   11010101101001111001000101000111                |
|  30              |   127      |   6ca6351          |        110110010100110001101010001                |
|  31              |   131      |   14292967          |      10100001010010010100101100111                |
|  32              |   137      |   27b70a85          |     100111101101110000101010000101                |
|  33              |   139      |   2e1b2138          |     101110000110110010000100111000                |
|  34              |   149      |   4d2c6dfc          |    1001101001011000110110111111100                |
|  35              |   151      |   53380d13          |    1010011001110000000110100010011                |
|  36              |   157      |   650a7354          |    1100101000010100111001101010100                |
|  37              |   163      |   766a0abb          |    1110110011010100000101010111011                |
|  38              |   167      |   81c2c92e          |   10000001110000101100100100101110                |
|  39              |   173      |   92722c85          |   10010010011100100010110010000101                |
|  40              |   179      |   a2bfe8a1          |   10100010101111111110100010100001                |
|  41              |   181      |   a81a664b          |   10101000000110100110011001001011                |
|  42              |   191      |   c24b8b70          |   11000010010010111000101101110000                |
|  43              |   193      |   c76c51a3          |   11000111011011000101000110100011                |
|  44              |   197      |   d192e819          |   11010001100100101110100000011001                |
|  45              |   199      |   d6990624          |   11010110100110010000011000100100                |
|  46              |   211      |   f40e3585          |   11110100000011100011010110000101                |
|  47              |   223      |   106aa070          |      10000011010101010000001110000                |
|  48              |   227      |   19a4c116          |      11001101001001100000100010110                |
|  49              |   229      |   1e376c08          |      11110001101110110110000001000                |
|  50              |   233      |   2748774c          |     100111010010000111011101001100                |
|  51              |   239      |   34b0bcb5          |     110100101100001011110010110101                |
|  52              |   241      |   391c0cb3          |     111001000111000000110010110011                |
|  53              |   251      |   4ed8aa4a          |    1001110110110001010101001001010                |
|  54              |   257      |   5b9cca4f          |    1011011100111001100101001001111                |
|  55              |   263      |   682e6ff3          |    1101000001011100110111111110011                |
|  56              |   269      |   748f82ee          |    1110100100011111000001011101110                |
|  57              |   271      |   78a5636f          |    1111000101001010110001101101111                |
|  58              |   277      |   84c87814          |   10000100110010000111100000010100                |
|  59              |   281      |   8cc70208          |   10001100110001110000001000001000                |
|  60              |   283      |   90befffa          |   10010000101111101111111111111010                |
|  61              |   293      |   a4506ceb          |   10100100010100000110110011101011                |
|  62              |   307      |   bef9a3f7          |   10111110111110011010001111110111                |
|  63              |   311      |   c67178f2          |   11000110011100010111100011110010                |


Initial Register Values
|  Constant Index  |   Prime   |   Hexadecimal |   Binary              |
|  --------------  |   -----   |   ----------- |   -----------------   |
|  0              |   2      |   6a09e667          |    1101010000010011110011001100111                |
|  1              |   3      |   bb67ae85          |   10111011011001111010111010000101                |
|  2              |   5      |   3c6ef372          |     111100011011101111001101110010                |
|  3              |   7      |   a54ff53a          |   10100101010011111111010100111010                |
|  4              |   11      |   510e527f          |    1010001000011100101001001111111                |
|  5              |   13      |   9b05688c          |   10011011000001010110100010001100                |
|  6              |   17      |   1f83d9ab          |      11111100000111101100110101011                |
|  7              |   19      |   5be0cd19          |    1011011111000001100110100011001                |
